species,mass,Mole_Weight,GC_Content
Aptenodytes forsteri,28.0,42459.602100000004,321
Aptenodytes patagonicus,13.4,42563.70669999999,321
Eudyptes chrysocome,2.8,42475.5753,321
Eudyptes chrysolophus,4.5,42445.54929999999,321
Eudyptes sclateri,4.25,42475.5753,321
Eudyptula minor,1.6,42491.64080000001,323
Pygoscelis adeliae,4.6,42458.61400000001,323
Pygoscelis antarctica,4.1,42404.54230000001,322
Pygoscelis papua,6.1,42595.87590000001,323
Spheniscus demersus,3.2,42431.54900000002,320
Spheniscus humboldti,4.75,42399.55200000001,321
Spheniscus magellanicus,3.4,42459.60210000002,321
